transcriptid	foldchange.1	foldchange.2	DEstatus.1	DEstatus.2
ENSG00000004866_variant1"	2	1	TRUE	FALSE
ENSG00000004866_variant2	2	1	TRUE	FALSE
ENSG00000006606_preMRNA"	2	1	TRUE	FALSE
ENSG00000058404_variant1"	2	1	TRUE	FALSE
ENSG00000058404_variant2	2	1	TRUE	FALSE
ENSG00000066136_variant1	1	4	FALSE	TRUE
ENSG00000066136_variant2	1	4	FALSE	TRUE
ENSG00000066697_variant1"	1	4	FALSE	TRUE
ENSG00000066697_variant2	1	4	FALSE	TRUE
ENSG00000071894_variant1"	1	4	FALSE	TRUE
ENSG00000071894_variant2	1	1	FALSE	FALSE
ENSG00000071967_variant1"	1	1	FALSE	FALSE
ENSG00000071967_variant2	1	1	FALSE	FALSE
ENSG00000073417_variant1"	1	1	FALSE	FALSE
ENSG00000073417_variant2	1	1	FALSE	FALSE
ENSG00000075188_variant1	1	1	FALSE	FALSE
ENSG00000075188_variant2	1	1	FALSE	FALSE
ENSG00000085831_variant1"	1	1	FALSE	FALSE
ENSG00000085831_variant2	1	1	FALSE	FALSE
ENSG00000087884_preMRNA"	1	1	FALSE	FALSE
ENSG00000088782_preMRNA"	1	1	FALSE	FALSE
ENSG00000089818_variant1"	1	1	FALSE	FALSE
ENSG00000089818_variant2	1	1	FALSE	FALSE
ENSG00000099804_variant1"	1	1	FALSE	FALSE
ENSG00000099804_variant2	1	1	FALSE	FALSE
ENSG00000100325_variant1"	1	1	FALSE	FALSE
ENSG00000100325_variant2	1	1	FALSE	FALSE
ENSG00000100504_variant1"	1	1	FALSE	FALSE
ENSG00000100504_variant2	1	1	FALSE	FALSE
ENSG00000100908_variant1"	1	1	FALSE	FALSE
ENSG00000100908_variant2	1	1	FALSE	FALSE
ENSG00000101266_variant1"	1	1	FALSE	FALSE
ENSG00000101266_variant2	1	1	FALSE	FALSE
ENSG00000104938_variant1	1	1	FALSE	FALSE
ENSG00000104938_variant2	1	1	FALSE	FALSE
ENSG00000105605_variant1	1	1	FALSE	FALSE
ENSG00000105605_variant2	1	1	FALSE	FALSE
ENSG00000105699_variant1"	1	1	FALSE	FALSE
ENSG00000105699_variant2	1	1	FALSE	FALSE
ENSG00000108370_variant1"	1	1	FALSE	FALSE
ENSG00000108370_variant2	1	1	FALSE	FALSE
ENSG00000108839_variant1"	1	1	FALSE	FALSE
ENSG00000108839_variant2	1	1	FALSE	FALSE
ENSG00000109881_variant1"	1	1	FALSE	FALSE
ENSG00000109881_variant2	1	1	FALSE	FALSE
ENSG00000112425_variant1"	1	1	FALSE	FALSE
ENSG00000112425_variant2	1	1	FALSE	FALSE
ENSG00000112773_variant1"	1	1	FALSE	FALSE
ENSG00000112773_variant2	1	1	FALSE	FALSE
ENSG00000114796_preMRNA"	1	1	FALSE	FALSE
ENSG00000115392_variant1"	1	1	FALSE	FALSE
ENSG00000115392_variant2	1	1	FALSE	FALSE
ENSG00000119139_variant1"	1	1	FALSE	FALSE
ENSG00000119139_variant2	1	1	FALSE	FALSE
ENSG00000121579_variant1"	1	1	FALSE	FALSE
ENSG00000121579_variant2	1	1	FALSE	FALSE
ENSG00000123989_variant1"	1	1	FALSE	FALSE
ENSG00000123989_variant2	1	1	FALSE	FALSE
ENSG00000125046_variant1"	1	1	FALSE	FALSE
ENSG00000125046_variant2	1	1	FALSE	FALSE
ENSG00000125363_preMRNA"	1	1	FALSE	FALSE
ENSG00000127329_variant1"	1	1	FALSE	FALSE
ENSG00000127329_variant2	1	1	FALSE	FALSE
ENSG00000128641_variant1"	1	1	FALSE	FALSE
ENSG00000128641_variant2	1	1	FALSE	FALSE
ENSG00000129204_variant1"	1	1	FALSE	FALSE
ENSG00000129204_variant2	1	1	FALSE	FALSE
ENSG00000129244_variant1"	1	1	FALSE	FALSE
ENSG00000129244_variant2	1	1	FALSE	FALSE
ENSG00000130038_variant1"	1	1	FALSE	FALSE
ENSG00000130038_variant2	1	1	FALSE	FALSE
ENSG00000131738_preMRNA"	1	1	FALSE	FALSE
ENSG00000136114_variant1"	1	1	FALSE	FALSE
ENSG00000136114_variant2	1	1	FALSE	FALSE
ENSG00000138698_variant1"	1	1	FALSE	FALSE
ENSG00000138698_variant2	1	1	FALSE	FALSE
ENSG00000138944_variant1"	1	1	FALSE	FALSE
ENSG00000138944_variant2	1	1	FALSE	FALSE
ENSG00000139746_preMRNA"	1	1	FALSE	FALSE
ENSG00000140678_variant1"	1	1	FALSE	FALSE
ENSG00000140678_variant2	1	1	FALSE	FALSE
ENSG00000140836_variant1	1	1	FALSE	FALSE
ENSG00000140836_variant2	1	1	FALSE	FALSE
ENSG00000142330_preMRNA"	1	1	FALSE	FALSE
ENSG00000146112_preMRNA"	1	1	FALSE	FALSE
ENSG00000147434_preMRNA"	1	1	FALSE	FALSE
ENSG00000147454_variant1"	1	1	FALSE	FALSE
ENSG00000147454_variant2	1	1	FALSE	FALSE
ENSG00000147576_variant1"	1	1	FALSE	FALSE
ENSG00000147576_variant2	1	1	FALSE	FALSE
ENSG00000147606_variant1"	1	1	FALSE	FALSE
ENSG00000147606_variant2	1	1	FALSE	FALSE
ENSG00000148229_variant1"	1	1	FALSE	FALSE
ENSG00000148229_variant2	1	1	FALSE	FALSE
ENSG00000148358_preMRNA"	1	1	FALSE	FALSE
ENSG00000155542_variant1"	1	1	FALSE	FALSE
ENSG00000155542_variant2	1	1	FALSE	FALSE
ENSG00000157379_variant1"	1	1	FALSE	FALSE
ENSG00000157379_variant2	1	1	FALSE	FALSE
ENSG00000157554_preMRNA"	1	1	FALSE	FALSE
ENSG00000157778_variant1"	1	1	FALSE	FALSE
ENSG00000157778_variant2	1	1	FALSE	FALSE
ENSG00000159374_variant1"	1	1	FALSE	FALSE
ENSG00000159374_variant2	1	1	FALSE	FALSE
ENSG00000162521_variant1	1	1	FALSE	FALSE
ENSG00000162521_variant2	1	1	FALSE	FALSE
ENSG00000166133_variant1"	1	1	FALSE	FALSE
ENSG00000166133_variant2	1	1	FALSE	FALSE
ENSG00000166750_variant1"	1	1	FALSE	FALSE
ENSG00000166750_variant2	1	1	FALSE	FALSE
ENSG00000166848_variant1"	1	1	FALSE	FALSE
ENSG00000166848_variant2	1	1	FALSE	FALSE
ENSG00000167286_variant1"	1	1	FALSE	FALSE
ENSG00000167286_variant2	1	1	FALSE	FALSE
ENSG00000167508_variant1"	1	1	FALSE	FALSE
ENSG00000167508_variant2	1	1	FALSE	FALSE
ENSG00000167595_variant1"	1	1	FALSE	FALSE
ENSG00000167595_variant2	1	1	FALSE	FALSE
ENSG00000168291_variant1	1	1	FALSE	FALSE
ENSG00000168291_variant2	1	1	FALSE	FALSE
ENSG00000168610_variant1"	1	1	FALSE	FALSE
ENSG00000168610_variant2	1	1	FALSE	FALSE
ENSG00000170419_variant1"	1	1	FALSE	FALSE
ENSG00000170419_variant2	1	1	FALSE	FALSE
ENSG00000170871_variant1	1	1	FALSE	FALSE
ENSG00000170871_variant2	1	1	FALSE	FALSE
ENSG00000171320_variant1	1	1	FALSE	FALSE
ENSG00000171320_variant2	1	1	FALSE	FALSE
ENSG00000174483_preMRNA"	1	1	FALSE	FALSE
ENSG00000179954_variant1"	1	1	FALSE	FALSE
ENSG00000179954_variant2	1	1	FALSE	FALSE
ENSG00000179965_preMRNA"	1	1	FALSE	FALSE
ENSG00000180398_variant1"	1	1	FALSE	FALSE
ENSG00000180398_variant2	1	1	FALSE	FALSE
ENSG00000181588_preMRNA"	1	1	FALSE	FALSE
ENSG00000182054_variant1"	1	1	FALSE	FALSE
ENSG00000182054_variant2	1	1	FALSE	FALSE
ENSG00000183921_variant1"	1	1	FALSE	FALSE
ENSG00000183921_variant2	1	1	FALSE	FALSE
ENSG00000185104_variant1"	1	1	FALSE	FALSE
ENSG00000185104_variant2	1	1	FALSE	FALSE
ENSG00000185187_variant1"	1	1	FALSE	FALSE
ENSG00000185187_variant2	1	1	FALSE	FALSE
ENSG00000186297_variant1"	1	1	FALSE	FALSE
ENSG00000186297_variant2	1	1	FALSE	FALSE
ENSG00000187045_variant1"	1	1	FALSE	FALSE
ENSG00000187045_variant2	1	1	FALSE	FALSE
ENSG00000189120_preMRNA"	1	1	FALSE	FALSE
ENSG00000196352_variant1"	1	1	FALSE	FALSE
ENSG00000196352_variant2	1	1	FALSE	FALSE
ENSG00000197043_variant1"	1	1	FALSE	FALSE
ENSG00000197043_variant2	1	1	FALSE	FALSE
ENSG00000197646_variant1"	1	1	FALSE	FALSE
ENSG00000197646_variant2	1	1	FALSE	FALSE
ENSG00000197937_variant1	1	1	FALSE	FALSE
ENSG00000197937_variant2	1	1	FALSE	FALSE
ENSG00000198798_variant1"	1	1	FALSE	FALSE
ENSG00000198798_variant2	1	1	FALSE	FALSE
ENSG00000203690_preMRNA"	1	1	FALSE	FALSE
ENSG00000205022_variant1"	1	1	FALSE	FALSE
ENSG00000205022_variant2	1	1	FALSE	FALSE
ENSG00000205279_variant1"	1	1	FALSE	FALSE
ENSG00000205279_variant2	1	1	FALSE	FALSE
ENSG00000214078_variant1"	1	1	FALSE	FALSE
ENSG00000214078_variant2	1	1	FALSE	FALSE
ENSG00000214212_variant1"	1	1	FALSE	FALSE
ENSG00000214212_variant2	1	1	FALSE	FALSE
ENSG00000242114_variant1"	1	1	FALSE	FALSE
ENSG00000242114_variant2	1	1	FALSE	FALSE
ENSG00000260300_preMRNA"	1	1	FALSE	FALSE
ENSG00000260458_preMRNA"	1	1	FALSE	FALSE
ENSG00000260914_variant1"	1	1	FALSE	FALSE
ENSG00000260914_variant2	1	1	FALSE	FALSE
ENSG00000261649_variant1"	1	1	FALSE	FALSE
ENSG00000261649_variant2	1	1	FALSE	FALSE
ENSG00000270617_variant1"	1	1	FALSE	FALSE
ENSG00000270617_variant2	1	1	FALSE	FALSE
ENSG00000273520_preMRNA"	1	1	FALSE	FALSE
ENSG00000277399_variant1"	1	1	FALSE	FALSE
ENSG00000277399_variant2	1	1	FALSE	FALSE
